None	110
110	364
364	687
687	419
687	113
113	71
71	113
113	110
113	538
113	65
113	528
113	993
113	325
528	82
364	276
276	836
836	364
276	364
364	276
110	304
110	304
304	227
110	56
110	144
144	928
144	928
144	928
110	304
304	117
117	304
117	97
304	117
304	227
110	117
110	278
304	836
836	227
110	206
206	278
206	227
206	186
186	247
186	110
110	450
110	5
450	278
450	274
450	49
274	450
5	232
110	62
62	110
62	329
329	582
329	582
110	348
110	181
348	134
348	181
134	496
134	276
134	94
94	567
567	242
567	242
567	242
567	134
567	928
94	567
94	928
496	155
496	661
155	134
134	996
661	290
290	22
496	97
181	836
836	247
836	364
181	227
181	278
181	347
347	582
